"","changepoint_prior_scale","seasonality_prior_scale","holidays_prior_scale","seasonality_mode","changepoint_range","mse","mae","mape"
"127",0.001,10,10,"multiplicative",0.9,691681.107440133,695.091046112447,0.0536604574832502
"128",0.001,10,10,"multiplicative",0.95,640179.975558939,653.811470654262,0.0506893286786137
"129",0.01,0.01,0.01,"additive",0.8,925688.685070437,816.392254117569,0.0652146102855522
"130",0.01,0.01,0.01,"additive",0.85,914342.944740418,812.372026875215,0.0649089505666381
"131",0.01,0.01,0.01,"additive",0.9,901379.15441723,807.293716309586,0.0645127518199222
"132",0.01,0.01,0.01,"additive",0.95,909283.465601946,813.387747535597,0.065121341264519
"133",0.01,0.01,0.01,"multiplicative",0.8,434474.612614853,565.088200107276,0.0443246427784258
"134",0.01,0.01,0.01,"multiplicative",0.85,434866.464425699,565.230317379228,0.0443550793777497
"135",0.01,0.01,0.01,"multiplicative",0.9,425221.477954532,559.640024450285,0.0439436159789404
"136",0.01,0.01,0.01,"multiplicative",0.95,421998.119345356,558.23679950981,0.0438413198088364
"137",0.01,0.01,0.1,"additive",0.8,925688.685070437,816.392254117569,0.0652146102855522
"138",0.01,0.01,0.1,"additive",0.85,914342.944740418,812.372026875215,0.0649089505666381
"139",0.01,0.01,0.1,"additive",0.9,901379.15441723,807.293716309586,0.0645127518199222
"140",0.01,0.01,0.1,"additive",0.95,909283.465601946,813.387747535597,0.065121341264519
"141",0.01,0.01,0.1,"multiplicative",0.8,434474.612614853,565.088200107276,0.0443246427784258
"142",0.01,0.01,0.1,"multiplicative",0.85,434866.464425699,565.230317379228,0.0443550793777497
"143",0.01,0.01,0.1,"multiplicative",0.9,425221.477954532,559.640024450285,0.0439436159789404
"144",0.01,0.01,0.1,"multiplicative",0.95,421998.119345356,558.23679950981,0.0438413198088364
"145",0.01,0.01,1,"additive",0.8,925688.685070437,816.392254117569,0.0652146102855522
"146",0.01,0.01,1,"additive",0.85,914342.944740418,812.372026875215,0.0649089505666381
"147",0.01,0.01,1,"additive",0.9,901379.15441723,807.293716309586,0.0645127518199222
"148",0.01,0.01,1,"additive",0.95,909283.465601946,813.387747535597,0.065121341264519
"149",0.01,0.01,1,"multiplicative",0.8,434474.612614853,565.088200107276,0.0443246427784258
"150",0.01,0.01,1,"multiplicative",0.85,434866.464425699,565.230317379228,0.0443550793777497
"151",0.01,0.01,1,"multiplicative",0.9,425221.477954532,559.640024450285,0.0439436159789404
"152",0.01,0.01,1,"multiplicative",0.95,421998.119345356,558.23679950981,0.0438413198088364
"153",0.01,0.01,10,"additive",0.8,925688.685070437,816.392254117569,0.0652146102855522
"154",0.01,0.01,10,"additive",0.85,914342.944740418,812.372026875215,0.0649089505666381
"155",0.01,0.01,10,"additive",0.9,901379.15441723,807.293716309586,0.0645127518199222
"156",0.01,0.01,10,"additive",0.95,909283.465601946,813.387747535597,0.065121341264519
"157",0.01,0.01,10,"multiplicative",0.8,434474.612614853,565.088200107276,0.0443246427784258
"158",0.01,0.01,10,"multiplicative",0.85,434866.464425699,565.230317379228,0.0443550793777497
"159",0.01,0.01,10,"multiplicative",0.9,425221.477954532,559.640024450285,0.0439436159789404
"160",0.01,0.01,10,"multiplicative",0.95,421998.119345356,558.23679950981,0.0438413198088364
"161",0.01,0.1,0.01,"additive",0.8,879387.88529995,793.823267533877,0.063253698197854
"162",0.01,0.1,0.01,"additive",0.85,875539.263699176,794.34802207722,0.0632997693739716
"163",0.01,0.1,0.01,"additive",0.9,872029.142942275,790.686325891769,0.0630483295059016
"164",0.01,0.1,0.01,"additive",0.95,878843.736610153,792.832148677503,0.0631666562514774
"165",0.01,0.1,0.01,"multiplicative",0.8,398821.846324381,540.036205369592,0.0422856064582435
"166",0.01,0.1,0.01,"multiplicative",0.85,394618.192913178,537.458695979212,0.0421385255668454
"167",0.01,0.1,0.01,"multiplicative",0.9,395100.833130432,537.136837160815,0.0421245964367752
"168",0.01,0.1,0.01,"multiplicative",0.95,392741.428011667,536.265977325134,0.0420495353292165
"169",0.01,0.1,0.1,"additive",0.8,879387.88529995,793.823267533877,0.063253698197854
"170",0.01,0.1,0.1,"additive",0.85,875539.263699176,794.34802207722,0.0632997693739716
"171",0.01,0.1,0.1,"additive",0.9,872029.142942275,790.686325891769,0.0630483295059016
"172",0.01,0.1,0.1,"additive",0.95,878843.736610153,792.832148677503,0.0631666562514774
"173",0.01,0.1,0.1,"multiplicative",0.8,398821.846324381,540.036205369592,0.0422856064582435
"174",0.01,0.1,0.1,"multiplicative",0.85,394618.192913178,537.458695979212,0.0421385255668454
"175",0.01,0.1,0.1,"multiplicative",0.9,395100.833130432,537.136837160815,0.0421245964367752
"176",0.01,0.1,0.1,"multiplicative",0.95,392741.428011667,536.265977325134,0.0420495353292165
"177",0.01,0.1,1,"additive",0.8,879387.88529995,793.823267533877,0.063253698197854
"178",0.01,0.1,1,"additive",0.85,875539.263699176,794.34802207722,0.0632997693739716
"179",0.01,0.1,1,"additive",0.9,872029.142942275,790.686325891769,0.0630483295059016
"180",0.01,0.1,1,"additive",0.95,878843.736610153,792.832148677503,0.0631666562514774
"181",0.01,0.1,1,"multiplicative",0.8,398821.846324381,540.036205369592,0.0422856064582435
"182",0.01,0.1,1,"multiplicative",0.85,394618.192913178,537.458695979212,0.0421385255668454
"183",0.01,0.1,1,"multiplicative",0.9,395100.833130432,537.136837160815,0.0421245964367752
"184",0.01,0.1,1,"multiplicative",0.95,392741.428011667,536.265977325134,0.0420495353292165
"185",0.01,0.1,10,"additive",0.8,879387.88529995,793.823267533877,0.063253698197854
"186",0.01,0.1,10,"additive",0.85,875539.263699176,794.34802207722,0.0632997693739716
"187",0.01,0.1,10,"additive",0.9,872029.142942275,790.686325891769,0.0630483295059016
"188",0.01,0.1,10,"additive",0.95,878843.736610153,792.832148677503,0.0631666562514774
"189",0.01,0.1,10,"multiplicative",0.8,398821.846324381,540.036205369592,0.0422856064582435
"190",0.01,0.1,10,"multiplicative",0.85,394618.192913178,537.458695979212,0.0421385255668454
"191",0.01,0.1,10,"multiplicative",0.9,395100.833130432,537.136837160815,0.0421245964367752
"192",0.01,0.1,10,"multiplicative",0.95,392741.428011667,536.265977325134,0.0420495353292165
"193",0.01,1,0.01,"additive",0.8,876667.496464211,793.867524667116,0.0632948146194945
"194",0.01,1,0.01,"additive",0.85,877368.640433873,792.788798422667,0.0632133123436711
"195",0.01,1,0.01,"additive",0.9,881915.116268326,799.30413063418,0.0636672660103468
"196",0.01,1,0.01,"additive",0.95,884637.543862403,795.845069082318,0.0633865983384807
"197",0.01,1,0.01,"multiplicative",0.8,396057.139309402,536.552823539859,0.0420580732965269
